subj,pred,obj,alpha,beta,confidence,original_confidence,uncertainty,color,step
Strep Throat,treated_with,Penicillin,8.57407643312102,1.6042675159235669,0.8423842302878598,0.92,0.011877702050985636,#39C500,32
Strep Throat,caused_by,Bacterial Infection,5.164510385756676,1.2746587537091991,0.8020460829493088,0.83,0.021342190343904287,#48B600,33
Sneezing,is_symptom_of,Seasonal Allergies,17.23,7.7700000000000005,0.6892,0.71,0.00823859076923077,#718D00,34
Itchy Eyes,is_symptom_of,Seasonal Allergies,17.20328502415459,8.931980676328504,0.6582402957486136,0.32,0.00829031899980203,#7C8200,35
Runny Nose,is_symptom_of,Seasonal Allergies,18.390232558139534,8.623056478405315,0.6807846513343992,0.77,0.007757636368881859,#748A00,36
Seasonal Allergies,treated_with,Antihistamines,9.356829268292683,1.7407317073170734,0.8431428571428572,0.89,0.01093220194206715,#39C500,37
Wheezing,is_symptom_of,Asthma,19.31,8.690000000000001,0.6896428571428571,0.85,0.007380537473610135,#718D00,38
Shortness of Breath,is_symptom_of,Asthma,20.69916790490342,8.734710252600298,0.7032429703670049,0.92,0.006857236331050436,#6C9200,39
Asthma,treated_with,Inhaled Corticosteroids,10.556335721596724,1.7589150460593657,0.8571758643617021,0.94,0.009194374484846578,#34CA00,40
Chest Tightness,is_symptom_of,Asthma,21.10746404239213,9.25892505677517,0.6950929849927707,0.73,0.00675687362471178,#6F8F00,41
Nausea,is_symptom_of,Food Poisoning,20.96319796954315,9.975888324873097,0.6775635767022149,0.44,0.006840245028140048,#758900,42
Vomiting,is_symptom_of,Food Poisoning,22.15686868686869,9.802727272727275,0.6932774968394437,0.82,0.006451650969148758,#6F8F00,43
Abdominal Pain,is_symptom_of,Food Poisoning,23.03872570194385,10.073585313174947,0.6957752266649273,0.79,0.006205151580919918,#6E9000,44
Food Poisoning,caused_by,Bacterial Contamination,5.057649402390438,2.1176494023904384,0.7048695169350361,0.5,0.025445978917510746,#6B9300,45
Food Poisoning,treated_with,Fluid Replacement,11.268745980707395,1.8727331189710612,0.8574944947394176,0.91,0.008641082405148623,#33CB00,46
Headache,is_symptom_of,Dehydration,23.237183098591554,11.006948356807511,0.678574170551138,0.48,0.00618858393171044,#758900,47
Dark Urine,is_symptom_of,Dehydration,23.315451505016725,11.671170568561871,0.6664104770098461,0.34,0.006177505426511644,#798500,48
Dehydration,treated_with,Oral Rehydration Salts,11.956530612244899,1.9618367346938774,0.8590469208211144,0.9,0.008116525477147666,#33CB00,49
Fatigue,is_symptom_of,Chronic Fatigue Syndrome,24.54181963288109,11.627374301675978,0.6785282436010591,0.72,0.005868506769901255,#758900,50
Muscle Pain,is_symptom_of,Chronic Fatigue Syndrome,25.049131832797432,12.092347266881028,0.6744247251320232,0.63,0.0057568825448216345,#768800,51
Poor Sleep,is_symptom_of,Chronic Fatigue Syndrome,25.53385026737968,12.615882352941174,0.6693061396131204,0.56,0.0056535617557300355,#788600,52
Chronic Fatigue Syndrome,treated_with,CBT Therapy,12.643827558420629,2.4883239323126514,0.8355604664785132,0.71,0.008517101603939698,#3BC300,53
High Blood Pressure,is_symptom_of,Hypertension,26.55,12.449999999999998,0.6807692307692308,0.83,0.005433062130177514,#748A00,54
Headache,is_symptom_of,Hypertension,26.91887480993411,13.431860111505319,0.6671222931216401,0.51,0.0053704036836024,#798500,55
Hypertension,treated_with,ACE Inhibitors,13.83541755888651,2.310192719486081,0.8569151193633953,0.93,0.007151194712764186,#34CA00,56
Hypertension,caused_by,Stress,5.769890368050117,2.4712999216914646,0.7001282782212086,0.58,0.022718791159324292,#6D9100,57
Chest Pain,is_symptom_of,Heart Disease,27.794120603015077,13.18577889447236,0.6782378908645004,0.79,0.005198470145771453,#758900,58
Shortness of Breath,is_symptom_of,Heart Disease,28.733033707865168,13.749623839765507,0.6763473701156828,0.69,0.005034227837006024,#758900,59
Heart Disease,treated_with,Beta Blockers,14.79632911392405,2.4062025316455697,0.8601250919793966,0.92,0.006609515668998372,#32CC00,60
Rash,is_symptom_of,Lyme Disease,29.07,13.929999999999998,0.676046511627907,0.68,0.0049774460396283,#768800,61
Fatigue,is_symptom_of,Lyme Disease,29.744814814814816,14.55148148148148,0.6714966555183947,0.59,0.004869910239527503,#778700,62
Joint Pain,is_symptom_of,Lyme Disease,30.683482280431434,14.618520801232663,0.6773096153192069,0.74,0.00472034222644477,#758900,63
Lyme Disease,caused_by,Tick Bite,7.1049160671462825,2.0581534772182257,0.7753860246008899,0.95,0.017136804652792374,#51AD00,64
Lyme Disease,treated_with,Doxycycline,15.728947368421052,2.511654135338346,0.8623042044517725,0.91,0.006171099350161618,#32CC00,65
Abdominal Pain,is_symptom_of,IBS,31.0524960254372,15.131923688394274,0.6723586919104991,0.61,0.004668754700364067,#778700,66
Bloating,is_symptom_of,IBS,31.345286415711946,15.726726677577739,0.6659006988630437,0.49,0.004627993374960389,#798500,67
IBS,treated_with,Low FODMAP Diet,16.337362637362638,2.7065934065934067,0.8578765147143682,0.85,0.0060828511072623884,#33CB00,68
Cough,is_symptom_of,Bronchitis,32.525173501577285,15.689337539432174,0.6745930384716043,0.77,0.0044604175937932936,#768800,69
Chest Tightness,is_symptom_of,Bronchitis,32.69769230769231,16.61,0.6631357254290172,0.48,0.004440409107268698,#7A8400,70
Bronchitis,caused_by,Viral Infection,7.494861460957178,2.8779345088161206,0.7225497814473044,0.63,0.017627291943913513,#659900,71
Bronchitis,treated_with,Cough Suppressants,16.978400646203553,3.14437802907916,0.843740366088632,0.72,0.006241724289595087,#38C600,72
Kidney Pain,is_symptom_of,Chronic Kidney Disease,33.54999999999999,16.45,0.671,0.74,0.004328607843137257,#778700,73
Fatigue,is_symptom_of,Chronic Kidney Disease,34.13184049079754,17.18717791411043,0.6650914524805738,0.57,0.004257434850822031,#7A8400,74
Chronic Kidney Disease,treated_with,Dialysis,18.17519871106337,2.9579914070891515,0.8600310038119442,0.94,0.005438785626995374,#32CC00,75
Nausea,is_symptom_of,Ulcer,34.07559322033898,17.85661016949152,0.6561553524804178,0.36,0.004262348654374406,#7D8100,76
Stomach Burning,is_symptom_of,Ulcer,35.32068259385665,17.583754266211603,0.6676317656925359,0.83,0.004116536672237887,#798500,77
Ulcer,caused_by,H. Pylori Infection,8.546082698585419,2.536615886833515,0.7711192930780559,0.92,0.014607194549555653,#53AB00,78
Ulcer,treated_with,Proton Pump Inhibitors,19.062212529738304,3.1312846946867565,0.8589098120488816,0.89,0.005224901861174173,#33CB00,79
Runny Nose,is_symptom_of,Common Cold,36.15574162679425,18.016507177033493,0.6674218335983042,0.73,0.004023217005778129,#798500,80
Sneezing,is_symptom_of,Common Cold,36.86857142857142,18.40472049689441,0.6670232610405663,0.69,0.003946867557802578,#798500,81
Cough,is_symptom_of,Common Cold,37.79134932533732,18.610449775112443,0.6700380116959064,0.75,0.003851570474152099,#788600,82
Common Cold,treated_with,Rest,19.85767955801105,3.3538437253354383,0.8555095378965623,0.84,0.005105542803644989,#34CA00,83
Fatigue,is_symptom_of,Mononucleosis,38.49456869009583,18.671565495207666,0.6733806516514838,0.81,0.003781223433763587,#768800,84
Sore Throat,is_symptom_of,Mononucleosis,39.276502311248066,19.025500770416023,0.6736732914001797,0.75,0.003707085366939334,#768800,85
Swollen Lymph Nodes,is_symptom_of,Mononucleosis,40.04276150627614,19.19154811715481,0.676006216006216,0.78,0.0036361637295494868,#768800,86
Mononucleosis,treated_with,Fluids,20.785046728971963,3.4766355140186915,0.8567026194144838,0.86,0.004859662160342031,#34CA00,87
Wheezing,is_symptom_of,Air Pollution Exposure,40.01259842519684,20.20787401574803,0.6644351464435145,0.42,0.0036419366549184165,#7A8400,88
Cough,is_symptom_of,Air Pollution Exposure,40.361794061907766,20.847934301958308,0.6594016203106454,0.39,0.0036102251102705725,#7C8200,89
Air Pollution Exposure,caused_by,Environmental Factors,8.92788876276958,2.985845629965948,0.7493778582317073,0.72,0.014543483558823796,#5BA300,90
